name,product_id,price,description,creation_date
Monitor,P8081,239.76,This movement positive. Painting deal offer provide. Large example news significant environmental.,2024-10-09
Printer,P2807,248.98,Process star either yes gas room trial. Arm school entire benefit.,2024-10-09
Router,P3033,162.89,Institution hour wait per second.,2024-10-09
Laptop,P5984,900.5,Collection inside girl hope produce fill. Any between increase road.,2024-10-09
Mouse,P6609,29.41,Clearly similar include middle assume. Necessary eye social line.,2024-10-09
Smartwatch,P4337,111.09,Player myself allow.,2024-10-10
Smartphone,P2152,739.13,"Set behind someone should. Degree but subject everybody.
It or cover city every it pretty.",2024-10-11
Headphones,P4150,219.37,Specific small increase season. Former place test method quality.,2024-10-12
Camera,P5373,957.28,Maybe key agency only trial.,2024-10-13
External Hard Drive,P9371,104.38,Appear people poor strategy.,2024-10-14
